User Name,Number of Reviews by User,RfnDt 2,Time When reviewed,Reviews
Jamie S,11 reviews,,4 years ago,"Avoid this post office, terrible customer service, refused to give me my tracking number, or a reprint of my receipt. Avoid T*******"
Thanh Ha,· 709 reviews,Local Guide,7 years ago,Can get pretty busy sometimes and lineups but most times I've been here it's been quick.
Ray Perrier,· 197 reviews,Local Guide,2 years ago,Well stocked and clean store. Very fast and efficient service.
Samuel Kadolph,9 reviews,,3 years ago,Go to the other one on Merivale. ‘Tim’ is horrible. Never had a pleasant experience with him.
Janu Bouny,5 reviews,,3 years ago,I feel I'm in different planet when I go to this post office very unhelpful bad attitude.
Su Sun,9 reviews,,6 years ago,"I had to wait for 5 mins at noon for someone to come up, and they said they don't have tapes LMFAOOOO"
Mike,11 reviews,,3 years ago,Never answer the phone and not posting their working hours. Very disorganized
Jasmine T.,10 reviews,,3 years ago,"Unfortunate to say that customer service, as well as attitudes, *needs* improvement... :/"
Abhishek S,3 reviews,,11 months ago,Trash tier customer service.
Rebecca Marie,· 11 reviews,Local Guide,6 years ago,"The post man left my parcel in front of my apartment building, and it was stolen."
Y W,33 reviews,,6 months ago,Super slow
Song Wan,5 reviews,,6 years ago,worst server ever
Christine Kumchy,6 reviews,,2 years ago,Pleasant and helpful.
A W,2 reviews,,3 years ago,Poor service.
Bart Trojanowski,· 49 reviews,Local Guide,5 years ago,
Yehia Attia,1 review,,3 years ago,
Leon Tarasoff,1 review,,3 years ago,
Envy Scribe,,,3 years ago,
Andre Maussi,,,3 years ago,
Shyna Sharma,2 reviews,,5 months ago,
Garrie Mann,3 reviews,,4 years ago,
Gloriane Tonde,,,3 months ago,
Dominic Chen,2 reviews,,3 years ago,
Gord Jenkins,· 30 reviews,Local Guide,5 years ago,
Sharyn Vitalis-Burke,3 reviews,,2 years ago,The person manning this outlet was rude and unhelpful when I called to find out the number for the depot next door. Because our business had not received mail for over a week. Instead of giving me the number she said she was busy and hung …
Gregory K.,· 139 reviews,Local Guide,3 years ago,"This is a great post office.  Free parking and usually no line.  They open early but close at 4 pm.
Shane and Ray are top notch at customer service knowing how to handle all the …"
Donald Ung,· 79 reviews,Local Guide,6 years ago,"It got a little busy when I stopped by. The person handling the main desk was under pressure as the line got bigger and a customer had some issues, but he kept really calm and handled the situation very smoothly. Friendly and courteous. Had a nice experience."
Vikas Thummar,11 reviews,,a year ago,"I do not know that how they work. I am living in Nepean and they had my parcel since last 3 days, and everyday I contacted them about my parcel. but they told me that my parcel is on its way to my home and they have not allowed me to pick …"
Micaela Cheeseman,12 reviews,,2 years ago,Went to this Canada Post location because of the good rating. I needed to visually get a look at boxes for shipping out packages from my small business. Was very happy with the outcome - I spoke with a very kind employee who was helpful and gave me great advice. Above and beyond!
Ryan Mierzwa,· 17 reviews,Local Guide,2 years ago,"Always friendly and helpful staff. To say one employee in particular help me out on multiple occasions would be an insult. I'm not going to name him, but let's just say he went WAYYY above and beyond his call of duty! Lines are normally small at this particular post office! Just great all around!"
david pc,· 11 reviews,Local Guide,11 months ago,"Tamara friendly, understanding. 10/10 found a solution and aided me greatly. Tank you so much for the great service."
Qiwei Yu,· 25 reviews,Local Guide,2 years ago,"I had an issue with my community mailbox and couldn't open it with the key. After speaking with supervisor there, they helped me resolve it immediately. Very friendly and professional. Thank you so much for everything !!"
Elaine Bedard,· 189 reviews,Local Guide,3 weeks ago,"Friends emploee, very helpful"
miro vala,12 reviews,,2 years ago,"Easy in and out, service was good. Shipped an oversized parcel and was taken care of right away"
Tom Giles,4 reviews,,4 years ago,"Couldn't spare an 18"" strip of packing tape, made me buy a roll. Am I wrong thinking that's petty for a post office?"
Peter Draycott,· 44 reviews,Local Guide,a year ago,I use this location for Flex delivery. Friendly staff.
Jamal Mahdi,26 reviews,,2 years ago,Hands down best Canada post office. Excellent customer service.
Michael Killam,· 58 reviews,Local Guide,6 years ago,The gentleman working the counter was not very helpful. But then maybe he was just having a bad day.
Bobby SHARKS,· 804 reviews,Local Guide,3 years ago,Never a line up staff is exceptional  Shane is the best
Gini Cornell-Ribet,· 101 reviews,Local Guide,2 years ago,I find that CDA post outlet cheaper than the ones located in stores.
Adeniyi Adejugbagbe,· 9 reviews,Local Guide,5 years ago,Ample parking lot and good customer service
Alen DRT,15 reviews,,5 years ago,"the staff are friendly and there usually isn't much of a line.,"
Charles Morrison,5 reviews,,5 years ago,Great service.
Youssef Fares,· 145 reviews,Local Guide,6 years ago,good service
Michel Katalayi,· 116 reviews,Local Guide,6 years ago,I work there
Mark Bennett,· 58 reviews,Local Guide,5 years ago,
Jamie Hitchcock,3 reviews,,a week ago,
Kyle Rivoire,· 36 reviews,Local Guide,11 months ago,
Eman Ghali,3 reviews,,5 years ago,
Shawn Wang,4 reviews,,5 years ago,
Marc e,34 reviews,,5 years ago,
Serge Joseph Iskedjian,· 64 reviews,Local Guide,5 years ago,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Jenny-Ann Webster,· 118 reviews,Local Guide,7 months ago,Always friendly and helpful when I have questions regarding a pick up or drop off.
Arianna Winsor,26 reviews,,3 years ago,"No issues with picking up my mail, the real issue is that my parcels are not delivered to my home (even though duties and taxes are paid online and my front yard is enclosed and not a risk for theft of parcel), forcing me to bring my …"
Craig Edwardson,9 reviews,,5 years ago,"I saw the two star review and thought ""really?!?"" So I decided to counter with a 5 star. Because they're doing just fine. Have successfully bought stamps and mailed stuff there."
Johnny,· 78 reviews,Local Guide,9 months ago,Ryan the best coworker of all post of Canada. 5 stars!!!
Nicole Pigeon,· 17 reviews,Local Guide,6 years ago,"Been a few times when on my way to do errands in the city (not my local post office) but always regret it. Employees don't seem enthused to be there, makes my local post office seem excited."
Susan Wilson,3 reviews,,9 months ago,Excellent service....friendly staff....very efficient!
Dionne Roche,44 reviews,,2 years ago,I'm with Craig. These guys can have 5 stars. They're doing just fine!
Carlo Cassone,16 reviews,,2 years ago,"Staff are useless. Worst Canada post I’ve been to in the entire city. Unfriendly and not helpful. If you can, go to another one."
Peter Porteous,4 reviews,,5 years ago,"I have been doing business with this outlet for a long time and have found the staff to be pleasant, approachable and helpful, without exception."
Eileen Fennell,· 9 reviews,Local Guide,5 months ago,Fast and reliable
Allison Smith,· 35 reviews,Local Guide,2 months ago,The post office was closed at 1:10 today until 1:45 with just a sign and no way to leave a pre-paid package. Very frustrating. They should post lunch closures in the opening times
Jagtar Sian,· 92 reviews,Local Guide,2 years ago,"Worst customer service:

1. Lighter man at Canada Post desk refused to scan the returning package. …"
SaRa NeGm,· 17 reviews,Local Guide,5 years ago,"This is the last time I will use their service. We sent very important documents to the Canadian Government on Xpress option, and they have lost the documents!!. …"
Jon D,· 19 reviews,Local Guide,2 years ago,Slowest service I've ever experienced. I think it took them 25 minutes to service 7 people...not like that at ups or FedEx thats for sure.
Ben Lahouti,· 34 reviews,Local Guide,2 years ago,"Friendly and helpful guy in Canada post desk.
March 24th @ 9:30."
manideep sai,· 26 reviews,Local Guide,2 years ago,"I had a decent experience here, the staff were helpful with queries and details"
clint butler,· 501 reviews,Local Guide,5 years ago,the staff are friendly and there usually isn't much of a line
Michael Thibeault,· 27 reviews,Local Guide,3 years ago,Super friendly staff
Bob Abxi,,,a year ago,
reza ferdowsi,4 reviews,,a year ago,
Tommy Nguyen,,,a year ago,
Michael Wood,12 reviews,,a week ago,845am and it is not yet open.
NSG_Corn_ FR,· 19 reviews,Local Guide,2 years ago,3rd in line. Was there 40 minutes because it took them 20 minutes to serve each customer. Ended up leaving because I don't have time for nonsense
Nicolas Paradis,1 review,,2 years ago,The guy that helped me was efficient and professional. 3-5 minutes and I was out.
Bart Trojanowski,· 49 reviews,Local Guide,6 years ago,
,,,,
,,,,
,,,,
E B,1 review,,a week ago,This location has the most unknowledgeable staff of all Canada Post locations. Every trip is a significant wait. There’s a young man with an accent that has absolutely no ability to do any transaction that takes less than 20 minutes. When I …
Terri Hearn,21 reviews,,4 months ago,I send quite a number of packages around Christmas and received many items over the year. The service is impeccable. The staff are very knowledgeable and kind. I love my post office. I will absolutely continue to use their services. I highly recommend.
Waldo Landorf,1 review,,a month ago,The older gentleman is very polite and helpful. The younger workers not so much. Be prepared for massive sticker shock sending a package . overseas especially a return. Exorbitant and the sign of a monopoly.
Andrea Burbidge,2 reviews,,8 months ago,"I tried to pick up a package 3 times. The first time delivery was attempted, I was self-isolating at home. Somebody else (a Canada Post employee) signed my name for the package and marked it as delivered on August 2nd. At this point, the …"
bhumi yadav,· 22 reviews,Local Guide,10 months ago,I had a parcel to pick up yesterday and my friend was going to pick it for me it was at the closing time of Canada post but Zolly (hopefully I'm not saying her name wrong) waited beyond the time till my package is collected. I really appreciate her altruism. Thank you!
mike gustain,2 reviews,,a year ago,"This has to be one of the worst Canada Post drop off locations I have ever been to. I avoid dropping packages here at all costs. The male employee working in the afternoons asks way more information then is necessary, acts like he is the …"
D GWR,1 review,,2 years ago,"I really try to be understanding, anything could be happening in someone's life to make them underperform but this employee's efficiency and speed was UNBELIEVABLY slow. He didn't seem to have a care in the world for the customers and never …"
Fadl Ali,3 reviews,,4 years ago,The lady who served me was having a great time with the lady who was serving .    I was there on Saturday July 7 close to 3:30.   When it was my turn to be served she changed and put on the sour looking face . I take it she doesn’t helping …
Dave B,· 26 reviews,Local Guide,3 years ago,Be warned - this postal outlet is extremely piss poor and service is horrifically slow - even by Canada Post standards. …
Nikki S,7 reviews,,3 years ago,"The woman who works is here MISERABLE every time I come. Openly complaining about how she wants to go home, there’s too many customers and rolling her eyes. If you hate the job so much - please quit and find a role not in customer service."
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Trishia Burns,2 reviews,,5 months ago,Horrible service... if I could do a negative 100 I would.. DON'T ORDER ANYTHING THAT GOES THROUGH THESE GUYS!!! I ordered something online.. even paid extra for expediting it to make sure it got here on time.. said one week in the notice I …
k j,3 reviews,,2 months ago,"I am so frustrated and disappointed with the Canada Post Office service. I regret that I used their services. It was supposed to be fast ,reliable with tracking number next day delivery. It takes them now one whole week and my letter was …"
ll jkool Lj,4 reviews,,5 months ago,Has got to be hands down the worst service offered by a mailing company. I got the classic response from one of their agents :“service delays and there’s nothing we can do if you need it sooner reach out to the seller.”  The good old pass the buck instead of figuring out the why and when.
Zhongda Yang,4 reviews,,2 days ago,Got a phone call from Canada Post this morning. In the whole conversation the agent was using a condescending tone. Haven't talked to such a rude person for years! Very disappointed.
D A,5 reviews,,5 months ago,Maybe they can try actually delivering packages? What a novel idea. Instead of leaving fake failed delivery slips in the mailbox and never actually making the attempt.
Regan McLauchlin,3 reviews,,5 months ago,"This postal service is almost as embarrassing as our prime minister. Canada is turning into a joke through and through, glad to see our mail delivery isn't any different."
Todd Lunn,· 28 reviews,Local Guide,8 months ago,"Delays after delays... Given notice to expect package to be delivered one day, nothing shows up.. then they change the expected delivery date to 5 days later.. are you kidding! Absolute terrible service and if the government is looking to make budget cuts..  start here. Unreliable and a waste of taxpayer's money."
Geoff White,· 34 reviews,Local Guide,2 days ago,Somehow Canada Post is the less reliable shipping option between them vs just putting your message in a bottle and putting it out to float.
Igor Lepshey,5 reviews,,11 months ago,"I would like to say about unprecedented service when bad situation was turned around by a single person. Her name is Thorlein, she demonstrate very professional approach to resolve a problem.Also would like to mention facility manager in …"
R P,17 reviews,,a year ago,"December 2021, I ordered an item online that was unfortunately going to be delivered by Canada Post. I say unfortunately because Canada Post is very proficient in losing packages which they did with this one. After the Delivery standard …"
J Lalonde,· 39 reviews,Local Guide,4 months ago,Horrible customer service. I brought in a prepaid Amazon return here today and was told to buy a box or a bubble mailer for an item no smaller than the palm of my hand. Every Canada Post office I've ever visited for a small prepaid return …
jill white,1 review,,7 months ago,I recently visited this outlet to mail an important letter that I had already put postage stamp on and wanted to check that it was sufficient postage before mailing. The dark haired man who served me seemed to be suspicious of the stamp and …
Robert,9 reviews,,11 months ago,"Absolutely worst customer service. Canada Post rep arrogant and dismissive. Had a Rogers modem to return and given option to have Canada Post print - Rogers instructions ""Don’t have a printer? Simply display the QR code above on your mobile …"
Cheryl,2 reviews,,9 months ago,"For years, the post office at 1831 Robertson was my favourite location, but approximately 10 to 12 months ago a new male employee (dark hair, medium height) started working there who always wastes my time insisting incorrectly that there is …"
Rafik Aggour,9 reviews,,a year ago,"I went there to return something that I bought online, and I had a prepaid mail receipt. The lady there asked me to buy a full roll of tape to stick the mail receipt to the mail bag. I felt it is unprofessional so I left her. I went to the …"
A Z,6 reviews,,a year ago,"The man who works today has rude to deal with customers.
I came before closing at 4:57 and entered inside and stand in the line, but he said to go out because we close . I told him, the time still and if you closed, …"
canacura,9 reviews,,5 years ago,"Always friendly, professional and bilingual service. The hard working staff at this Station is the best in the Ottawa area as far as I'm concerned. Bravo! keep up the good work."
Michelle Angelica,4 reviews,,3 years ago,"The ladies who work here are amazing! Always so friendly and patient.
They deserve great recognition for providing the great customer service. Excellent job :)"
Alan Viner,7 reviews,,2 years ago,"Great little local post office, always friendly, cordial and smiling in these trying times that is a home run great job guys and gals at 1831 Roberson Rd"
Tim Mann,9 reviews,,2 years ago,Great service here.  Very friendly and obliging people who definitely go beyond!
Felix Hutnyk,· 273 reviews,Local Guide,7 months ago,"Awesome! This Canada Post is super convenient, I've come here many times to ship items.
Do note you cannot drop off Amazon returns here. They don't accept Purolator packages."
Vooqo,5 reviews,,4 years ago,Using this Canada Post location for my business for over 6 months now and I am extremely satisfied. The staff is extremely friendly and they always find the best solutions for my shipments. Highly recommend this location.
G Lindsay,· 146 reviews,Local Guide,3 years ago,Love CA Post Flex Mail
Adf,23 reviews,,4 years ago,Really nice and helpful staff!!!
Diane Wessman,9 reviews,,7 months ago,
Mazikeen K,· 100 reviews,Local Guide,4 years ago,
Sumit Sharma,,,8 months ago,
existential hiccup,· 3 reviews,Local Guide,5 years ago,
Max Stevens,2 reviews,,a month ago,Don’t go here. They seem to argue with you and make it difficult. I couldn’t get a package because I had a heath card and not a drivers license even though both have my address listed. She just said nope and wouldn’t listen.
Jessica Giang,12 reviews,,8 months ago,Do not go to this location. Walk a few extra minutes to the location in the Shoppers on Bank. …
Michael Judge,37 reviews,,9 months ago,Awful!! Paid for express 2-day delivery and it was sent in regular mail! Now I will lose $100 as ICBC keeps charging you for insurance until they receive the plates in the mail. The extra money I paid for express also went down the drain.
Susan Hebert,4 reviews,,9 months ago,Awful service. I ship items very often to famille back home and went there knowing exactly what I wanted and they kept trying to convince me to upgrade when I clearly was telling them no. Wasted so much of my time and the lady serving me was not even nice nor respectful. They’ll never get my business again.
Nursultan Rustembayev,5 reviews,,a year ago,"Awful experience, I left a letter on my mail box saying please knock on the door, I’m home all day waiting for my package, the delivery driver just left a notice to pick up my item. I went to office and they said that package is not on …"
张子路,· 16 reviews,Local Guide,a year ago,"No, they’re not opening as it mentions on map or pictures."
Elphee Moore,4 reviews,,a year ago,I have never been to a Canada Post office like this one. I had to stand there waiting for the two staff (also a couple) finish fighting with each other first. CRAZY and SHAMEFUL!
K H (MrMeKeeks),9 reviews,,a year ago,"Update your hours on your notice cards you leave for packages.  It says 4:30 on Saturday, arrived at 2:10 and it says closed at 2:00 on the door.  Thanks for wasting my time."
Ryan S,· 49 reviews,Local Guide,2 months ago,Always something wrong at this location
Amar Kumar,5 reviews,,a year ago,Worst experience and worst customer service this location has. Wouldn’t recommend to go there. Rather should go to the one on bank and Laurier inside shoppers.
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Curtis Hunter,2 reviews,,4 months ago,Lazy. Delivery guy leaves delivery notice in my mailbox. Doesn't even attempt to bring my package to my door...
Michael Ehrhardt,· 55 reviews,Local Guide,a year ago,I went here to get a PO Box and Claude and the Supervisor Lady (sorry forget her name) were awesome. Very professional and helpful. Everyone complains about something but there is no reason to complain about the great staff at this location. 10 stars if I could give it!
Jeff Said,· 66 reviews,Local Guide,2 years ago,Waited 35 min outside in the cold simply to drop off a package. Worst lining procedure I have ever seen and the staff is so unexperienced and slow.
Jiyoo Baek,· 23 reviews,Local Guide,8 months ago,The staff was really really kind and nice.
